"Metric name","Metric type","Metric unit","Metric description","NVIDIA GeForce RTX 3060 Laptop GPU"
"smsp__inst_executed_op_global_red_pred_off_all","Counter","inst","# of warp instructions executed with all threads predicated off: RED","1"
"smsp__inst_executed_op_global_red_pred_on_any","Counter","inst","# of warp instructions executed with at least 1 thread predicated on: RED","1"
"smsp__inst_executed_op_global_st","Counter","inst","# of warp instructions executed: STG","1"
"smsp__inst_executed_op_global_st_pred_off_all","Counter","inst","# of warp instructions executed with all threads predicated off: STG","1"
"smsp__inst_executed_op_global_st_pred_on_any","Counter","inst","# of warp instructions executed with at least 1 thread predicated on: STG","1"
"smsp__inst_executed_op_ldc","Counter","inst","# of warp instructions executed: LDC","1"
"smsp__inst_executed_op_ldc_pred_off_all","Counter","inst","# of warp instructions executed with all threads predicated off: LDC","1"
"smsp__inst_executed_op_ldc_pred_on_any","Counter","inst","# of warp instructions executed with at least 1 thread predicated on: LDC","1"
"smsp__inst_executed_op_ldgsts","Counter","inst","# of warp instructions executed: LDGSTS","1"
"smsp__inst_executed_op_ldgsts_pred_off_all","Counter","inst","# of warp instructions executed with all threads predicated off: LDGSTS","1"
"smsp__inst_executed_op_ldgsts_pred_on_any","Counter","inst","# of warp instructions executed with at least 1 thread predicated on: LDGSTS","1"
"smsp__inst_executed_op_ldsm","Counter","inst","# of warp instructions executed: LDSM","1"
"smsp__inst_executed_op_ldsm_pred_off_all","Counter","inst","# of warp instructions executed with all threads predicated off: LDSM","1"
"smsp__inst_executed_op_ldsm_pred_on_any","Counter","inst","# of warp instructions executed with at least 1 thread predicated on: LDSM","1"
"smsp__inst_executed_op_local_ld","Counter","inst","# of warp instructions executed: LDL","1"
"smsp__inst_executed_op_local_ld_pred_off_all","Counter","inst","# of warp instructions executed with all threads predicated off: LDL","1"
"smsp__inst_executed_op_local_ld_pred_on_any","Counter","inst","# of warp instructions executed with at least 1 thread predicated on: LDL","1"
"smsp__inst_executed_op_local_st","Counter","inst","# of warp instructions executed: STL","1"
"smsp__inst_executed_op_local_st_pred_off_all","Counter","inst","# of warp instructions executed with all threads predicated off: STL","1"
"smsp__inst_executed_op_local_st_pred_on_any","Counter","inst","# of warp instructions executed with at least 1 thread predicated on: STL","1"
"smsp__inst_executed_op_shared_atom","Counter","inst","# of warp instructions executed: ATOMS.*","1"
"smsp__inst_executed_op_shared_atom_dot_alu","Counter","inst","# of warp instructions executed: ATOMS.ALU (non-CAS)","1"
"smsp__inst_executed_op_shared_atom_dot_alu_pred_off_all","Counter","inst","# of warp instructions executed with all threads predicated off: ATOMS.ALU (non-CAS)","1"
"smsp__inst_executed_op_shared_atom_dot_alu_pred_on_any","Counter","inst","# of warp instructions executed with at least 1 thread predicated on: ATOMS.ALU (non-CAS)","1"
"smsp__inst_executed_op_shared_atom_dot_cas","Counter","inst","# of warp instructions executed: ATOMS.CAS","1"
"smsp__inst_executed_op_shared_atom_dot_cas_pred_off_all","Counter","inst","# of warp instructions executed with all threads predicated off: ATOMS.CAS","1"
"smsp__inst_executed_op_shared_atom_dot_cas_pred_on_any","Counter","inst","# of warp instructions executed with at least 1 thread predicated on: ATOMS.CAS","1"
"smsp__inst_executed_op_shared_atom_pred_off_all","Counter","inst","# of warp instructions executed with all threads predicated off: ATOMS.*","1"
"smsp__inst_executed_op_shared_atom_pred_on_any","Counter","inst","# of warp instructions executed with at least 1 thread predicated on: ATOMS.*","1"
"smsp__inst_executed_op_shared_ld","Counter","inst","# of warp instructions executed: LDS","1"
"smsp__inst_executed_op_shared_ld_pred_off_all","Counter","inst","# of warp instructions executed with all threads predicated off: LDS","1"
"smsp__inst_executed_op_shared_ld_pred_on_any","Counter","inst","# of warp instructions executed with at least 1 thread predicated on: LDS","1"
"smsp__inst_executed_op_shared_st","Counter","inst","# of warp instructions executed: STS","1"
"smsp__inst_executed_op_shared_st_pred_off_all","Counter","inst","# of warp instructions executed with all threads predicated off: STS","1"
"smsp__inst_executed_op_shared_st_pred_on_any","Counter","inst","# of warp instructions executed with at least 1 thread predicated on: STS","1"
"smsp__inst_executed_op_surface_atom","Counter","inst","# of warp instructions executed: SUATOM.*","1"
"smsp__inst_executed_op_surface_atom_dot_alu","Counter","inst","# of warp instructions executed: SUATOM.ALU (non-CAS)","1"
"smsp__inst_executed_op_surface_atom_dot_alu_pred_off_all","Counter","inst","# of warp instructions executed with all threads predicated off: SUATOM.ALU (non-CAS)","1"
"smsp__inst_executed_op_surface_atom_dot_alu_pred_on_any","Counter","inst","# of warp instructions executed with at least 1 thread predicated on: SUATOM.ALU (non-CAS)","1"
"smsp__inst_executed_op_surface_atom_dot_cas","Counter","inst","# of warp instructions executed: SUATOM.CAS","1"
"smsp__inst_executed_op_surface_atom_dot_cas_pred_off_all","Counter","inst","# of warp instructions executed with all threads predicated off: SUATOM.CAS","1"
"smsp__inst_executed_op_surface_atom_dot_cas_pred_on_any","Counter","inst","# of warp instructions executed with at least 1 thread predicated on: SUATOM.CAS","1"
"smsp__inst_executed_op_surface_atom_pred_off_all","Counter","inst","# of warp instructions executed with all threads predicated off: SUATOM.*","1"
"smsp__inst_executed_op_surface_atom_pred_on_any","Counter","inst","# of warp instructions executed with at least 1 thread predicated on: SUATOM.*","1"
"smsp__inst_executed_op_surface_ld","Counter","inst","# of warp instructions executed: SULD","1"
"smsp__inst_executed_op_surface_ld_pred_off_all","Counter","inst","# of warp instructions executed with all threads predicated off: SULD","1"
"smsp__inst_executed_op_surface_ld_pred_on_any","Counter","inst","# of warp instructions executed with at least 1 thread predicated on: SULD","1"
"smsp__inst_executed_op_surface_red","Counter","inst","# of warp instructions executed: SURED","1"
"smsp__inst_executed_op_surface_red_pred_off_all","Counter","inst","# of warp instructions executed with all threads predicated off: SURED","1"
"smsp__inst_executed_op_surface_red_pred_on_any","Counter","inst","# of warp instructions executed with at least 1 thread predicated on: SURED","1"
"smsp__inst_executed_op_surface_st","Counter","inst","# of warp instructions executed: SUST","1"
"smsp__inst_executed_op_surface_st_pred_off_all","Counter","inst","# of warp instructions executed with all threads predicated off: SUST","1"
"smsp__inst_executed_op_surface_st_pred_on_any","Counter","inst","# of warp instructions executed with at least 1 thread predicated on: SUST","1"
"smsp__inst_executed_op_texture","Counter","inst","# of warp instructions executed: texture","1"
"smsp__inst_executed_pipe_adu","Counter","inst","# of warp instructions executed by adu pipe","1"
"smsp__inst_executed_pipe_alu","Counter","inst","# of warp instructions executed by alu pipe","1"
"smsp__inst_executed_pipe_cbu","Counter","inst","# of warp instructions executed by cbu pipe","1"
"smsp__inst_executed_pipe_cbu_pred_off_all","Counter","inst","# of warp instructions executed by cbu pipe with all threads predicated off","1"
"smsp__inst_executed_pipe_cbu_pred_on_any","Counter","inst","# of warp instructions executed by cbu pipe with at least 1 thread predicated on","1"
"smsp__inst_executed_pipe_fma","Counter","inst","# of warp instructions executed by fma pipes","1"
"smsp__inst_executed_pipe_fma_type_fp16","Counter","inst","# of warp instructions executed by fma pipes (fp16 ops)","1"
"smsp__inst_executed_pipe_fmaheavy","Counter","inst","# of warp instructions executed by fmaheavy pipe","1"
"smsp__inst_executed_pipe_fmalite","Counter","inst","# of warp instructions executed by fmalite pipe","1"
"smsp__inst_executed_pipe_fp64","Counter","inst","# of warp instructions executed by fp64 pipe","1"
"smsp__inst_executed_pipe_fp64_op_dmma","Counter","inst","# of warp instructions executed by fp64 pipe (DMMA ops)","1"
"smsp__inst_executed_pipe_fp64_op_dmma_pred_off_all","Counter","inst","# of warp instructions executed by fp64 pipe (DMMA ops) with all threads predicated off","1"
"smsp__inst_executed_pipe_fp64_op_dmma_pred_on_any","Counter","inst","# of warp instructions executed by fp64 pipe (DMMA ops) with at least 1 thread predicated on","1"
"smsp__inst_executed_pipe_fp64_op_fp64","Counter","inst","# of warp instructions executed by fp64 pipe (fp64 ops)","1"
"smsp__inst_executed_pipe_fp64_op_fp64_pred_off_all","Counter","inst","# of warp instructions executed by fp64 pipe (fp64 ops) with all threads predicated off","1"
"smsp__inst_executed_pipe_fp64_op_fp64_pred_on_any","Counter","inst","# of warp instructions executed by fp64 pipe (fp64 ops) with at least 1 thread predicated on","1"
"smsp__inst_executed_pipe_fp64_pred_off_all","Counter","inst","# of warp instructions executed by fp64 pipe with all threads predicated off","1"
"smsp__inst_executed_pipe_fp64_pred_on_any","Counter","inst","# of warp instructions executed by fp64 pipe with at least 1 thread predicated on","1"
"smsp__inst_executed_pipe_ipa","Counter","inst","# of warp instructions executed by ipa pipe","1"
"smsp__inst_executed_pipe_lsu","Counter","inst","# of warp instructions executed by lsu pipe","1"
"smsp__inst_executed_pipe_tensor","Counter","inst","# of warp instructions executed by tensor pipe","1"
"smsp__inst_executed_pipe_tensor_op_hmma","Counter","inst","# of warp instructions executed by tensor pipe (HMMA ops)","1"
"smsp__inst_executed_pipe_tensor_op_imma","Counter","inst","# of warp instructions executed by tensor pipe (IMMA/BMMA ops)","1"
"smsp__inst_executed_pipe_tex","Counter","inst","# of warp instructions executed by tex pipe","1"
"smsp__inst_executed_pipe_uniform","Counter","inst","# of warp instructions executed by uniform pipe","1"
"smsp__inst_executed_pipe_xu","Counter","inst","# of warp instructions executed by xu pipe","1"
"smsp__inst_executed_shader_cs","Counter","inst","# of warp instructions executed by CS","1"
"smsp__inst_issued","Counter","inst","# of warp instructions issued","1"
"smsp__inst_issued_per_issue_active","Ratio","inst/cycle","# of warp instructions per issue cycle","1"
"smsp__issue_active","Counter","cycle","# of cycles where 1 instruction was issued","1"
"smsp__issue_inst0","Counter","cycle","# of active cycles where 0 instructions were issued","1"
"smsp__issue_inst1","Counter","cycle","# of active cycles where 1 instruction was issued","1"
"smsp__l1tex_lsuin_requests","Counter","","# of local/global/shared/attribute/S2R/SHFL instructions sent to LSU","1"
"smsp__mio2rf_writeback_active","Counter","cycle","# of cycles where the MIO to register file writeback interface was active","1"
"smsp__mio2rf_writeback_active_pipe_adu","Counter","cycle","# of cycles where the MIO to register file writeback interface was active for ADU return data","1"
"smsp__mio2rf_writeback_active_pipe_lsu","Counter","cycle","# of cycles where the MIO to register file writeback interface was active for LSU return data","1"
"smsp__mio2rf_writeback_active_pipe_tex","Counter","cycle","# of cycles where the MIO to register file writeback interface was active for TEX return data","1"
"smsp__ops_path_tensor_src_bf16_dst_fp32","Counter","","# of math ops executed in Tensor path with source BF16 and destination FP32","1"
"smsp__ops_path_tensor_src_bf16_dst_fp32_sparsity_off","Counter","","# of math ops executed in Tensor path with source BF16 and destination FP32 with sparsity off","1"
"smsp__ops_path_tensor_src_bf16_dst_fp32_sparsity_on","Counter","","# of math ops executed in Tensor path with source BF16 and destination FP32 with sparsity on","1"
"smsp__ops_path_tensor_src_fp16_dst_fp16","Counter","","# of math ops executed in Tensor path with source FP16 and destination FP16","1"
"smsp__ops_path_tensor_src_fp16_dst_fp16_sparsity_off","Counter","","# of math ops executed in Tensor path with source FP16 and destination FP16 with sparsity off","1"
"smsp__ops_path_tensor_src_fp16_dst_fp16_sparsity_on","Counter","","# of math ops executed in Tensor path with source FP16 and destination FP16 with sparsity on","1"
"smsp__ops_path_tensor_src_fp16_dst_fp32","Counter","","# of math ops executed in Tensor path with source FP16 and destination FP32","1"
"smsp__ops_path_tensor_src_fp16_dst_fp32_sparsity_off","Counter","","# of math ops executed in Tensor path with source FP16 and destination FP32 with sparsity off","1"
"smsp__ops_path_tensor_src_fp16_dst_fp32_sparsity_on","Counter","","# of math ops executed in Tensor path with source FP16 and destination FP32 with sparsity on","1"
"smsp__ops_path_tensor_src_int1","Counter","","# of math ops executed in Tensor path with source INT1","1"
"smsp__ops_path_tensor_src_int4","Counter","","# of math ops executed in Tensor path with source INT4","1"
"smsp__ops_path_tensor_src_int4_sparsity_off","Counter","","# of math ops executed in Tensor path with source INT4 with sparsity off","1"
"smsp__ops_path_tensor_src_int4_sparsity_on","Counter","","# of math ops executed in Tensor path with source INT4 with sparsity on","1"
"smsp__ops_path_tensor_src_int8","Counter","","# of math ops executed in Tensor path with source INT8","1"
"smsp__ops_path_tensor_src_int8_sparsity_off","Counter","","# of math ops executed in Tensor path with source INT8 with sparsity off","1"
